"ФИО","Должность","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"Смирнов Святослав","Frontend-разработчик","4","4","4","5","4","4","5","4","4","5","4","4"
"Беляев Андрей","Frontend-разработчик","5","5","4","5","5","5","4","4","5","4","5","5"
"Захарова Олеся","Frontend-разработчик","2","3","2","3","3","3","5","5","5","5","5","4"
"Семёнова Полина","Backend-разработчик","3","2","3","2","1","3","4","5","5","5","5","4"
"Худякова Ульяна","Тестировщик","4","4","5","4","5","4","4","5","4","5","5","4"
"Трошин Александр","Менеджер продукта","5","4","5","4","4","4","4","5","4","5","5","4"
"Лаптев Алексей","Менеджер продукта","5","5","5","4","5","4","5","5","5","5","4","5"
"Климов Никита","Менеджер продукта","5","5","4","5","3","2","3","3","4","5","5","5"
"Лазарева Таисия","Системный аналитик","5","4","5","4","2","2","1","2","3","2","2","2"
"Чернова Татьяна","Frontend-разработчик","4","5","4","4","4","4","5","5","4","4","4","5"
"Герасимова Полина","Тестировщик","4","5","5","4","5","4","5","4","5","4","4","5"
"Трофимова Татьяна","Backend-разработчик","4","4","4","5","5","4","4","5","4","4","5","5"
"Маркова Мария","Frontend-разработчик","5","5","5","4","4","4","4","2","3","3","4","4"
"Завьялов Марк","Backend-разработчик","4","4","4","4","4","5","4","2","3","3","5","4"
"Жукова Злата","Дизайнер интерфейсов","4","4","4","4","4","4","4","3","2","2","5","5"
"Петров Максим","Дизайнер интерфейсов","4","5","5","5","5","5","5","2","3","2","4","5"
"Филиппов Денис","Тимлид разработки","4","4","2","3","3","3","5","2","3","2","4","3"
"Иванов Даниил","Дизайнер интерфейсов","5","4","2","2","1","3","5","5","5","5","5","3"
"Измайлов Захар","Тимлид разработки","5","5","3","3","2","3","5","4","4","4","5","5"
"Соколов Матвей","Тимлид разработки","5","5","5","5","5","4","5","5","4","5","5","5"
"Кошелев Никита","Chief technical officer","4","4","4","4","5","4","5","4","4","4","4","5"
"Погудин Алексей","Chief product officer","5","5","5","5","5","5","5","5","4","4","4","4"
"Нестеров Филипп","Финансовый директор","4","4","5","4","4","4","5","5","5","4","4","4"
"Карасёва Анастасия","Административный специалист","4","3","4","5","5","4","4","4","5","5","5","4"
"Агранович Екатерина","HR-менеджер","5","5","4","4","4","4","5","5","5","4","4","5"
